"consum","income","pbeef","pchick","ppork"
27.8,397.5,78.3,42.2,50.7
29.9,413.3,79.2,38.1,52
29.8,439.2,79.2,40.3,54
30.8,459.7,79.2,39.5,55.3
31.2,492.9,77.4,37.3,54.7
33.3,528.6,80.2,38.1,63.7
35.6,560.3,80.4,39.3,69.8
36.4,624.6,83.9,37.8,65.9
36.7,666.4,85.5,38.4,64.5
38.4,717.8,93.7,40.1,70
40.4,768.2,106.1,38.6,73.2
40.3,843.3,104.8,39.8,67.8
41.8,911.6,114,39.7,79.1
40.4,931.1,124.1,52.1,95.4
40.7,1021.5,127.6,48.9,94.2
40.1,1165.9,142.9,58.3,123.5
42.7,1349.6,143.6,57.9,129.9
44.1,1449.4,139.2,56.5,117.6
46.7,1575.5,165.5,63.7,130.9
50.6,1759.1,203.3,61.6,129.8
50.1,1994.2,219.6,58.9,128
51.7,2258.1,221.6,66.4,141
52.9,2478.7,232.6,70.4,168.2
